2	&Aliy-i-Sayyah	&‘Alíy-i-Sayyah
What to do about Bahaism, Bahaist, etc?
2	'ABBUD	'ABBÚD
2	'ABDU'R-RAHIM	'ABDU'R-RAḤÍM
1	'ALA-AD-DIN	'ALA-AD-DÍN
1	'ARAB	‘ARAB
2	'Abdu'1-Bahá	‘Abdu’l-Bahá
1	'Abdu'1-Bahá's	‘Abdu’l-Bahá's
1	'Abdu'1Bahá'	‘Abdu’l-Bahá'
2	'Abdu1-Bahá	‘Abdu’l-Bahá
9	'Abú’l-Qásim	'Abu’l-Qásim
1	'Abú’l-Qásim-i-Kashi'	'Abu’l-Qásim-i-Ka<u>sh<u>í'
6	'Adudu'd-Dawla	'Adudu'd-Dawlih
1	'Akbar-i-Shahmirzadi	'Akbar-i-S_háhmírzádí
11	'Ala'	‘Alá’
2	'Ala'u'd-Dawla	‘Alá’u'd-Dawlih
20	'Ala'u'd-Dawlih	‘Alá’u'd-Dawlih
1	'Ala'u'd-Dawlih's	‘Alá’u'd-Dawlih's
5	'Ala'u'd-Din	‘Alá’u'd-Dín
Is this the same name as ^^?
Is this ‘Álam? Is this standard?
5	'Aliy-i	‘Alíy-i
2	'Aliy-i Bastami	‘Alíy-i Bastamí
1	'Aliy-i-	‘Alíy-i-
3	'Aliy-i-'Arab	‘Alíy-i-‘Arab
Which spelling of Azim is this?
3	'Aliy-i-Afnán	‘Alíy-i-Afnán
3	'Aliy-i-Arbab	‘Alíy-i-Arbab
14	'Aliy-i-Bastami	‘Alíy-i-Bastamí
1	'Aliy-i-Bastami_	‘Alíy-i-Bastamí_
1	'Aliy-i-Burujirdi	‘Alíy-i-Burújirdí
Hayir sp
1	'Aliy-i-Iṣfahání	‘Alíy-i-Iṣfahání
Kan sp
1	'Aliy-i-Kirmani	‘Alíy-i-Kirmání
1	'Aliy-i-Kirmanshahi	‘Alíy-i-Kirmáns_háhí
1	'Aliy-i-Lash-Furush	‘Alíy-i-Lás-Furús_h
1	'Aliy-i-Malmiri	‘Alíy-i-Málmírí
1	'Aliy-i-Maraghi'i	‘Alíy-i-Marág_hi'í
5	'Aliy-i-Miri	‘Alíy-i-Mírí
Is this a typo, or is there really a Misr?
1	'Aliy-i-Mlri	‘Alíy-i-Mírí
1	'Aliy-i-Nayrizi	‘Alíy-i-Nayrízí
3	'Aliy-i-Nuri	‘Alíy-i-Núrí
Should it be Píshnamáz, in accordance with modern spelling?
1	'Aliy-i-Sabzavari	‘Alíy-i-Sabzivárí
1	'Aliy-i-Sabzivari	‘Alíy-i-Sabzivárí
2	'Aliy-i-Sardar	‘Alíy-i-Sardár
11	'Aliy-i-Sayyah	‘Alíy-i-Sayyah
Qahvih-chi sp
1	'Aliy-i-Tabrizi	‘Alíy-i-Tabrízí
1	'Aliy-i-Tafrishi	‘Alíy-i-Tafrís_hí
1	'Aliy-i-Turshizi	‘Alíy-i-Turs_hízí
5	'Aliy-i-Yazdí	‘Alíy-i-Yazdí
1	'Aliy-i-Zunuzi	‘Alíy-i-Zunúzí
2	'Alláhu abha'	'Alláh-u-Abhá'
3	'Alláh–u–Abhá!'	'Alláh-u-Abhá!'
16	'Alláh–u–Abhá'	'Alláh-u-Abhá'
1	'Alláh–u–Abhá'--God	'Alláh-u-Abhá'--God
3	'Alláh–u–Abhá.'	'Alláh-u-Abhá.'
2	'Alá'	‘Alá’
1	'Alá'u'd-Dawlih	‘Alá’u'd-Dawlih
1	'Alíy-i	‘Alíy-i
1	'Alíy-i-Kaní	‘Alíy-i-Kaní
1	'Alíy-i-Kirmani	‘Alíy-i-Kirmání
1	'Alíy-i-Sabzivárí	‘Alíy-i-Sabzivárí
There are two variants of Sayyah it seems; when should which be used, or can we tell?
Is this always correct?

Baghi sp
2	'Arab-i-K_hán	‘Arab-i-K_hán
7	'Asma	'Asmá’
8	'Asma'	'Asmá’
Malik sp - isn't there a Málik and a Malík?
1	'Azali'	'Azalí'
5	'Azamat	‘Aẓamat
Azim sp
1	'BAGDADI	'BAG_HDÁDI
3	'INAYATU'LLAH	‘INÁYATU’LLÁH
1	'IS_HRÁQÁT	'ISHRÁQÁT
1	'Ibn-Abhár	'Ibn-Abhar
1	'Ibn-Abhár?'	'Ibn-Abhar?'
8	'Ilm	‘Ilm
1	'Ilm ad-Din	‘Ilm ad-Dín
1	'Ilm ad-Din_	‘Ilm ad-Dín_
Kelam sp
nujum sp
rami sp

1	'Isma'il	'Ismá’íl
1	'Jinab-i-K_hán	'Jináb-i-K_hán
1	'Jinab-i-Mujtahid	'Jináb-i-Mujtahid
1	'Jinab-i-Mullá	'Jináb-i-Mullá
1	'Jinab-i-Samandarí'	'Jináb-i-Samandarí'
1	'Jinab-i-Ḥájí	'Jináb-i-Ḥájí
1	'KHAN	'K_HÁN
1	'Las Furush'	'Lás-Furús_h'
9	'Muhajir	'Muḥájír
1	'Muhajir! Muhajir!'	'Muḥájír! Muḥájír!'
2	'Muhajir'	'Muḥájír'
1	'Muhajir-Inspired	'Muḥájír-Inspired
Should be same as Qayyúmu'l-Asmá'?
1	'Rahmat	'Raḥmat
1	'Rahmat'	'Raḥmat'
Should be u'lláh, like all other names?
1	'S_hayk_hi	'S_hayk_hí
1	'S_hírázee'	'S_hírází'
1	'Sardar	'Sardár
1	'Seyyed	'Siyyid
1	'Shahinshah'	'S_háhins_háh'

Should be same as 'Ulamáy-i?

1	'd-Din	'd-Dín
1	'd-Din-i-Afnán	'd-Dín-i-Afnán
1	'qahviyi-\lkhánigí	'qahviyi-k_hánigí
1	'un-Muhajir-like'! Rahmat	'un-Muḥájír-like'! Raḥmat
1	'Ḥasan-i-Mázindaráni'	'Ḥasan-i-Mázindarání'
verify
1	-i-Haykalu'd-Din	-i-Haykalu'd-Dín
1	<em>ta\lkht-i-raván</em>	<em>tak_ht-i-raván</em>
7	ABU'L-FADL	ABU’L-FAḌL
1	ABU'L-FADL'S	ABU’L-FAḌL'S
1	ABU'L-QASIM	ABU’L-QÁSIM
1	ABU'L-QASIM AFNAN	ABU’L-QÁSIM AFNÁN
FIRAHANI sp
2	ABULQASIM	ABU’L-QÁSIM
2	ABU’L-FADL	ABU’L-FAḌL
1	ABU’L-QASIM	ABU’L-QÁSIM
3	AFNAN	AFNÁN
Is Kabir always Kabír?
1	AGHSAN	AG_HṢÁN
1	AL-BAQARAH	AL-BÁQÁRAH
1	ALLAHO ABHÁ	ALLÁH-U-ABHÁ
2	ALLÁH–U–ABHÁ	ALLÁH-U-ABHÁ
1	AMITABHÁ	AMITABHA
Aren't there different spellings of Amir?
10	AQA	ÁQÁ
l=I, probably, but can we fix it automatically?
1	AQAY-I-KALIM	ÁQÁY-I-KALÍM
1	ARDÍQÁN	ARDIKAN
1	A\lshraf	As_hraf
2	Abdu1 Bahá	‘Abdu’l-Bahá
3	Abhándlung	Abhandlung
2	Abhándlungen	Abhandlungen
8	Abhár	Abhar
1	Abhár, Ibn-i-Abhár	Abhar, Ibn-i-Abhar
Should be Abú?

5	Abu'l-	Abu’l-
1	Abu'l- Faḍl	Abu’l-Faḍl
1	Abu'l- Qasim	Abu’l-Qásim
should be ‘Alá’?
is this the whole name?
should be ‘Aṭṭar?
how to remove dots before letters?
9	Abu'l-‘Abbás	Abu’l-‘Abbás
1	Abu'l-Ḥasan	Abu’l-Ḥasan
Should be like 'Abdu'llah?

15	Abu-Sa'id	Abu-Sa‘íd
1	Abu-Sa'id's	Abu-Sa‘íd's



This would be "Abul Fadhl". From V. Piff Mettleman's diary; do we want to change the historical text like this?
1	Abu’l Fadhl--and	Abu’l-Faḍl--and
1	Abu’l Gasim	Abu’l-Qásim
Abul'-Ḥasan not worth fixing
Abul'i-Qasim not worth fixing
Line breaks in words

Again, Faḍle is from V. Piff Mettleman. We are changing what she wrote.
1	Abu’l_Faḍl	Abu’l-Faḍl
1	Abú'l-Ḥasan	Abu’l-Ḥasan
228	Abú’l-Qásim	Abu’l-Qásim
1	Abú’l-Qásim	Muḥájír
1	Abú’l-Qásim Kás_háni	Abu’l-Qásim Kás_hání
1	Abú’l-Qásim \lK_hán	Abu’l-Qásim K_hán
1	Abú’l-Qásim's	Abu’l-Qásim's



Fix Hamadání

2	Abú’l-Qásim-i-Iṣfahání	Abu’l-Qásim-i-Iṣfahání
1	Abú’l-Qásim-i-K_hurasání	Abu’l-Qásim-i-K_hurasání
